he R R
arrives R R
on R R
sep M M_S
22nd D D_E
and R R
wo R R
n't R R
stay R R
long R R

february M M_S
27 D D_E
is R R
my R R
birthday R R

the R R
deadline R R
is R R
31st D D_S
of R R
december M M_E
, R R
be R R
ready R R

she R R
arrives R R
22 D D_S
of R R
mar M M_E

i R R
want R R
some R R
place R R
to R R
go R R
in R R
october M M_SE

find R R
me R R
a R R
flight R R
in R R
july M M_S
2017 Y Y_E
to R R
london R R

people R R
do R R
shit R R
in R R
october M M_SE
, R R
then R R
they R R
deal R R
with R R
it R R
in R R
nov M M_SE
. R R

i R R
want R R
to R R
fly R R
to R R
barcelona R R
on R R
13th D D_S
of R R
april M M
2018 Y Y_E
and R R
never R R
come R R
back R R

the R R
building R R
will R R
be R R
available R R
on R R
jan. M M_S
1st D D
2017 Y Y_E

i R R
'm R R
flying R R
to R R
maldives R R
is R R
in R R
may M M_SE

he R R
finished R R
3rd D R
on R R
the R R
olympic R R
games R R

he R R
was R R
3rd D R
on R R
the R R
olympic R R
games R R
in R R
2016 Y Y_SE

she R R
became R R
3rd D R
in R R
the R R
june M M_SE
competition R R

11th D D_S
of R R
feb M M
1981 Y Y_E

